#   max_th 15
# time red_drops red_traffic red_ratio mred_drops mred_traffic  mred_ratio
# 
# 
636  24 24 0 0 23 1
637  30 30 0 26 26 0
638  21 21 0 37 37 0
639  41 41 0 16 16 0
640  16 16 0 41 41 0
641  19 19 0 20 20 0
642  45 45 0 0 12 1
643  14 14 0 29 29 0
644  8 8 0 26 26 0
645  27 27 0 0 7 1
646  28 28 0 0 15 1
647  45 45 0 0 15 1
648  12 12 0 0 15 1
649  8 8 0 16 16 0
650  28 28 0 24 24 0
651  21 21 0 0 17 1
652  42 42 0 0 31 1
653  23 23 0 33 33 0
654  29 29 0 22 22 0
655  7 7 0 45 45 0
656  25 25 0 0 7 1
657  7 7 0 37 37 0
658  5 5 0 0 35 1
659  37 37 0 0 12 1
660  26 26 0 0 19 1
661  22 22 0 0 23 1
662  41 41 0 0 17 1
663  7 7 0 0 19 1
664  12 12 0 40 40 0
665  22 22 0 1 18 0.944444444444444
666  7 7 0 0 7 1
667  34 34 0 42 42 0
668  19 19 0 0 31 1
669  27 27 0 26 26 0
670  29 29 0 0 8 1
671  37 37 0 22 22 0
672  8 8 0 0 17 1
673  30 30 0 0 19 1
674  26 26 0 42 42 0
675  5 5 0 0 19 1
676  12 12 0 16 16 0
677  17 17 0 0 19 1
678  24 24 0 30 30 0
679  29 29 0 0 23 1
680  23 23 0 0 10 1
681  38 38 0 0 12 1
682  42 42 0 0 19 1
683  38 38 0 41 41 0
684  15 15 0 0 15 1
685  15 15 0 0 35 1
686  22 22 0 16 16 0
687  7 7 0 0 34 1
688  28 28 0 30 30 0
689  45 45 0 0 23 1
690  12 12 0 0 19 1
691  17 17 0 0 14 1
692  41 41 0 16 16 0
693  33 33 0 0 23 1
694  22 22 0 41 41 0
695  4 4 0 0 31 1
696  24 24 0 0 19 1
697  16 16 0 0 35 1
698  5 5 0 0 14 1
699  20 20 0 26 26 0
700  22 22 0 36 36 0
701  26 26 0 36 36 0
702  15 15 0 0 19 1
703  11 11 0 0 12 1
704  16 16 0 26 26 0
705  15 15 0 0 14 1
706  24 24 0 36 36 0
707  38 38 0 26 26 0
708  22 22 0 0 12 1
709  27 27 0 0 0 0
710  26 26 0 26 26 0
711  28 28 0 25 25 0
712  26 26 0 0 12 1
713  12 12 0 24 24 0
714  26 26 0 30 30 0
715  9 9 0 0 19 1
716  26 26 0 0 19 1
717  29 29 0 24 24 0
718  36 36 0 33 33 0
719  8 8 0 20 20 0
720  16 16 0 24 24 0
721  35 35 0 0 9 1
722  42 42 0 29 29 0
723  31 31 0 24 24 0
724  35 35 0 0 5 1
725  22 22 0 0 21 1
726  38 38 0 0 14 1
727  40 40 0 40 40 0
728  21 21 0 0 11 1
729  34 34 0 45 45 0
730  11 11 0 16 16 0
731  40 40 0 0 7 1
732  21 21 0 0 8 1
733  28 28 0 29 29 0
734  17 17 0 26 26 0
735  40 40 0 0 0 0
736  33 33 0 45 45 0
737  0 0 0 24 24 0
738  26 26 0 0 21 1
739  16 16 0 0 35 1
740  25 25 0 0 27 1
741  12 12 0 0 12 1
742  38 38 0 29 29 0
743  28 28 0 0 35 1
744  17 17 0 0 10 1
745  0 0 0 0 21 1
746  19 19 0 16 16 0
747  16 16 0 0 15 1
748  23 23 0 37 37 0
749  11 11 0 0 23 1
750  17 17 0 0 10 1
751  21 21 0 0 27 1
752  4 4 0 28 28 0
753  19 19 0 0 4 1
754  26 26 0 0 14 1
755  26 26 0 25 25 0
756  7 7 0 0 14 1
757  33 33 0 0 23 1
758  38 38 0 41 41 0
759  17 17 0 0 8 1
760  26 26 0 38 38 0
761  40 40 0 30 30 0
762  14 14 0 41 41 0
763  4 4 0 28 28 0
764  15 15 0 20 20 0
765  31 31 0 24 24 0
766  14 14 0 29 29 0
767  28 28 0 0 31 1
768  14 14 0 26 26 0
769  7 7 0 37 37 0
770  28 28 0 36 36 0
771  35 35 0 30 30 0
772  41 41 0 0 12 1
773  28 28 0 0 14 1
774  24 24 0 0 19 1
775  24 24 0 0 12 1
776  23 23 0 38 38 0
777  4 4 0 0 4 1
778  17 17 0 0 19 1
